@type;@id;@lat;@lon
node;9332247;46.6845320;7.8537943
node;60467930;47.0508104;9.0587185
node;92612575;47.3648083;8.5313604
node;220847433;47.2120922;7.7911232
node;253821649;47.3234955;7.8050545
node;266285258;47.4513360;8.2902210
node;266823842;47.4739280;8.3069959
node;267348518;47.3767165;8.5403343
node;269120291;47.3501562;8.7183192
node;274678737;47.5259654;7.6042811
node;277396061;47.0943531;8.3625892
node;286879749;46.9481593;7.4476543
node;287035005;46.2180400;6.1149938
node;287667842;47.2256015;8.8160543
node;291687393;47.4508850;8.5406132
node;292175195;46.5108846;6.4939929
node;292175964;46.5175523;6.6293730
node;292176016;46.5224653;6.6306119
node;292178583;46.4745832;6.4244968
node;292178737;46.2090171;6.1441096
node;292178827;46.7803247;6.6365233
node;297530121;47.2980054;7.9357867
node;301815421;47.3734328;8.5297366
node;305469323;47.0046419;7.4630132
node;306672986;46.5822654;6.6013926
node;320657893;46.3397611;6.9316370
node;326308370;46.0036950;8.9538428
node(location modified);336457297;47.1669851;9.4776693
node;350131969;47.0984797;6.8247706
node;353186982;47.4990848;8.7244693
node;357299666;46.2923769;7.8813474
node;368593532;45.9847305;8.8896768
node;370383114;46.4631973;6.8409780
node;370661454;47.5121017;7.7208191
node;373865634;47.4265531;9.3768575
node;373868031;47.4226959;9.3708187
node;378321336;47.3580035;8.5228082
node;382450155;47.1777023;8.1103187
node;393349619;47.1929810;7.4012687
node;401590634;47.3530730;8.3504290
node;407913375;47.5105092;8.5445554
node;410314006;47.0130370;7.0090902
node;415945879;47.2162323;8.5731157
node;428467209;46.3829623;6.2367526
node;457133481;47.4107127;8.5432363
node;466486707;47.0694503;8.2808951
node;470313784;47.3907105;8.0458378
node;470530786;47.1378553;7.2468590
node;473456103;47.1962812;8.7520154
node;491105520;47.4085287;8.5944828
node;501963289;47.3664563;8.5476202
node;506466061;46.8461832;9.5126985
node;506467139;46.8530459;9.5317084
node;540756879;46.9625281;7.4638878
node;563877240;46.8048327;7.1548029
node;568735455;46.5222245;6.6259932
node;571470809;46.9921378;6.9294694
node;577374844;46.9965862;6.9360161
node;584725542;47.5542884;7.5887200
node;641253089;47.3727359;8.0831299
node;677637284;46.0229261;7.7474801
node;724173462;47.3234812;8.0222215
node;836844358;46.7809817;7.6073440
node;857742944;47.3498535;7.9023413
node;860155350;46.3063470;7.9612656
node;872461937;47.4172201;7.5014621
node;885878444;47.2659655;8.1765707
node;924029243;46.2188539;6.1134195
node;941457782;46.2038651;6.1465341
node;942043215;46.1983488;6.1427822
node;963381483;46.2112921;6.1445828
node;972071685;46.2019663;6.1526595
node;1170699814;47.5464261;7.5532991
node;1247399856;47.0496189;8.3092221
node;1305573211;47.2040525;7.5414898
node;1497849818;46.4313517;6.9092885
node;1553431859;47.0545054;8.3087036
node;1711632226;46.8318226;6.8590120
node;1714276622;47.6981591;8.6339446
node;1808849452;46.2471655;6.2155481
node;1918200355;46.9438887;7.3730340
node;1939646588;47.0742817;8.2863535
node;2056821857;46.1879600;6.1285248
node;2103843979;45.8744499;8.9782722
node;2258945395;46.9380791;7.8006978
node;2405543816;46.2282591;7.3588626
node;2408277249;47.4501144;8.5629114
node;2417617306;47.5640860;8.9088336
node;2523496973;46.5381762;6.5796092
node;2613740362;47.5679808;9.0935804
node;2700304630;46.1022536;7.0738209
node;2706776311;46.5231250;6.6271238
node;3077319476;47.4121749;8.6156279
node;3236033034;46.1715970;8.7999018
node;3296329914;45.8431424;9.0176885
node;3358834641;47.4189579;9.2351170
node;3854705857;47.4217186;8.3683902
node;3926562462;47.3764501;8.5375292
node;3971026271;46.3878143;6.2195161
node;4082536389;46.9483109;7.4373635
node;4197389153;46.9403670;7.1446615
node;4304369396;47.3879048;8.4979594
node;4304420081;46.8206220;6.9361889
node;4314041682;46.1839681;9.0124306
node;4314054249;47.5579340;7.5875464
node;4314063139;47.0170775;7.4933516
node;4314071271;47.5796663;7.5954594
node;4314077188;47.1330745;7.2426653
node;4314232301;46.1799849;6.1281324
node;4827130203;47.3829117;8.5299580
node;5474140662;46.7593933;7.6266600
node;6233650602;46.3371483;6.9304784
node;6255390885;46.5199696;6.6363760
node;6389507428;47.5665097;7.6066263
node;6635011267;45.9853633;8.9366875
node;6698736963;46.5542128;6.5693252
node;6814385365;46.6850744;7.6681103
node;6872071200;47.3865588;8.1371085
node;7089272983;46.2272393;6.0859287
node;8329574150;47.5048379;7.5545131
node;8668924967;46.6019767;7.0743176
node;8705314773;47.0743220;7.3067067
node;8776953310;47.2017940;7.5717551
node;8781444349;47.3893986;8.2049592
node;9119349899;46.2227929;7.2958776
node;9651267228;47.4945709;8.7577932
node;10068661477;47.5165694;8.5951061
node;10287483693;47.5722448;9.3662742
node;10963220400;47.2715851;8.4385451
node;319834865;47.3814274;8.6718326
node;356678518;47.0323757;8.6276998
node;360469746;47.2382661;8.6599418
node;415375091;47.4953385;8.7119919
node;447923612;47.4977688;8.7465068
node;461792290;47.4835100;8.4651057
node;472111876;47.5387530;7.7335210
node;523350902;47.0687710;7.6001460
node;538046761;47.4144144;9.3108966
node;573383743;47.0843996;6.7961037
node;610742755;47.4184770;8.3737588
node;778592142;46.6271663;7.0591234
node;833344331;46.7859293;7.0791029
node;936799542;46.7882834;6.6223639
node;982887202;46.2060943;6.0987781
node;1010474228;47.3628197;7.3606909
node;1027019372;46.5456648;6.5684627
node;1032591107;47.1588643;7.2879990
node;1107725055;47.0261408;8.2992619
node;1153563440;47.1854675;8.5201798
node;1156521427;46.9261922;7.4164933
node;1195286358;47.4019983;8.4509637
node;1375155011;47.6390695;9.2005457
node;1492210161;47.4474236;9.6530919
node;1767488247;47.3895277;8.1928542
node;1777152318;46.8277748;7.1470511
node;1803680291;47.4441366;8.4656629
node;1804203159;47.5257834;7.6905862
node;1837008570;47.2732302;8.4461920
node;2134894596;47.4986081;9.4188050
node;2150131759;47.0396393;9.4363449
node;2296368417;47.4674250;7.8014094
node;2470669312;46.3843423;6.9216969
node;2672661274;47.3055279;8.8242535
node;2775885435;47.1192004;9.5235260
node;2953153714;46.2827664;7.5134748
node;2955480113;46.2676525;6.9537021
node;3115488910;47.4189434;9.2349566
node;3209497539;46.1567985;8.9731299
node;3220094672;47.5614772;7.5920623
node;3284041928;47.4533387;9.0489781
node;3829141995;46.9487714;7.4404440
node;4600483587;45.9853516;8.9365381
node;8364086381;46.1141593;7.0774016
node;10221298174;46.9193389;9.5625598
node;10282094953;47.1517268;9.5115765